name,country,region,winery,rating,no_ratings,price,year,type
Lou Coucardié Rouge 2014,France,Costières-de-Nîmes,Michel Gassier,4.0,129,24.09,2014,red
Zweigelt 2016,Austria,Niederösterreich,Weingut Bründlmayer,3.5,129,10.95,2016,red
Cabernet Sauvignon 2016,South Africa,Stellenbosch,Neil Ellis,3.8,129,12.9,2016,red
Pinotage 2014,South Africa,Stellenbosch,Welmoed,3.2,129,8.32,2014,red
Campogiovanni Brunello di Montalcino 2012,Italy,Brunello di Montalcino,San Felice,4.2,1293,33.85,2012,red
Barolo 2014,Italy,Barolo,Borgogno,3.9,1295,50.85,2014,red
V Reserva 2014,Spain,Rioja,Bodegas Faustino,3.7,1296,9.7,2014,red
Chianti 2017,Italy,Chianti,Ricasoli,3.5,1297,7.85,2017,red
Terra Romana Fetească Neagră 2016,Romania,Dealu Mare,Serve,3.5,130,10.5,2016,red
Foundation Pinotage 2018,South Africa,Coastal Region,Nederburg,3.6,130,5.81,2018,red
Riserva Ducale Oro Chianti Classico (Gran Selezione Gold) 2015,Italy,Chianti Classico,Ruffino,3.9,130,34.99,2015,red
Langhe Nebbiolo 2017,Italy,Langhe,La Spinetta,3.9,130,18.03,2017,red
Cellar Selection Carmenère 2018,Chile,Central Valley,Santa Carolina,3.6,130,5.95,2018,red
Kallista 2013,South Africa,Stellenbosch,Vriesenhof,4.1,130,29.19,2013,red
4 Meses Red 2017,Spain,La Mancha,Volver,3.7,130,8.38,2017,red
Cabernet Sauvignon 2016,South Africa,Coastal Region,Fleur du Cap,3.6,130,12.03,2016,red
Cabernet Sauvignon (1685 series) 2016,South Africa,Stellenbosch,Boschendal,3.7,130,16.99,2016,red
Cabernet Sauvignon 2015,United States,Sonoma Valley,Schug,4.0,130,38.94,2015,red
Amarone della Valpolicella Monte Lodoletta 2012,Italy,Amarone della Valpolicella,Dal Forno Romano,4.7,130,270.63,2012,red
Clos Baltasar 2015,Spain,Calatayud,San Alejandro,3.9,130,13.54,2015,red
El Viejo 2017,Spain,Toro,Matsu,4.1,130,28.3,2017,red
Barolo La Serra 2014,Italy,Barolo,Mauro Molino,4.2,130,48.64,2014,red
The Montelena Estate Cabernet Sauvignon 2001,United States,Calistoga,Chateau Montelena,4.4,130,153.9,2001,red
Seven Flags Pinot Noir 2016,South Africa,Elgin,Paul Cluver,4.3,130,56.74,2016,red
Arborina Barolo 2013,Italy,Barolo,Elio Altare,4.3,130,77.12,2013,red
